year,metabolite,siteID,country,city,mon,tue,wed,thu,fri,sat,sun
2021,amphetamine,SK004,SK,Piestany,10.24,16.55,13.95,17.2,09.09,10.29,2.8
2021,amphetamine,TR001,TR,Adana,2.93,2.72,2.5,1.75,1.81,3.52,3.26
2021,amphetamine,TR003,TR,Istanbul (II-VII),13.59,12.76,12.13,12.79,12.06,11.94,10.19
2021,cannabis,AT001,AT,Graz,77.04,233.51,54.77,80.42,60.1,53.88,50.46
2021,cannabis,AT002,AT,Hall-Wattens,40.21,50.06,44.93,19.69,34.03,38.92,25.62
2021,cannabis,AT004,AT,Innsbruck,88.05,112.37,87.9,81.77,117.8,102.25,93.93
2021,cannabis,AT005,AT,Kapfenberg,121.91,59.07,73.92,101.08,81.72,82.54,15.45
2021,cannabis,AT007,AT,Kufstein,94.57,99.68,78.22,78.77,100.19,72.26,115
2021,cannabis,AT010,AT,Purgstall,34.15,31.98,57.31,29.43,40.34,37.43,33.35
2021,cannabis,AT008,AT,Region Millstättersee,22.58,21.99,25.42,20.09,20.24,22.76,36.64
2021,cannabis,AT011,AT,Strass im Zillertal,32.03,33.42,34,32.18,34.47,28.44,29.14
2021,cannabis,AT003,AT,Wasserverband Hofsteig,72.7,97.23,183.05,70.23,90.67,62.85,84.7
2021,cannabis,CZ001,CZ,Brno,82.69,99.78,76.94,77.58,84.1,81.2,84.3
2021,cannabis,CZ002,CZ,Budweis,104.33,141.43,127.02,134.06,114.49,108.82,93.35
2021,cannabis,CZ003,CZ,Karlovy Vary,176.7,141.75,121.91,112.95,100.18,75.78,128.88
2021,cannabis,CZ004,CZ,Ostrava,56.64,94.42,88.78,73.96,86.77,93.24,80.79
2021,cannabis,CZ005,CZ,Prague (2),97.66,96.69,78.58,90.42,82.67,88.44,102.77
2021,cannabis,EE001,EE,Narva,55.45,39.23,35.61,34.81,31.7,35.87,28.68
2021,cannabis,EE002,EE,Tartu,38.09,0,25.73,25.46,20.63,16.49,27.98
2021,cannabis,ES001,ES,Barcelona,438.92,201.19,572.86,199.57,497.25,846.56,435.1
2021,cannabis,ES002,ES,Castellon,77.24,69.38,73.57,68.9,62.35,46.95,69.32
2021,cannabis,ES005,ES,Santiago,70.31,72.4,97.03,70.37,112.21,86.81,69.62
2021,cannabis,ES006,ES,Tarragona,44.98,25.85,34.12,44.87,40.83,39.27,47.52
2021,cannabis,FR005,FR,Paris Seine Centre,125.17,129.61,133.13,121.55,87.66,75.69,151.34
2021,cannabis,GR001,GR,Athens,44.94,30.03,30.86,31.61,28.91,39.44,65.34
2021,cannabis,HR001,HR,Zagreb,134.84,147.08,119.76,132.57,125.96,143.28,126.85
2021,cannabis,IT001,IT,Bozen,40.25,44.74,34.18,36.25,38.95,35.52,38.79
2021,cannabis,IT002,IT,Milan,76,39.11,33.53,37.25,37.69,39.31,38
2021,cannabis,NL001,NL,Amsterdam,156.77,155.12,162.72,141.72,168.18,169.92,149.04
2021,cannabis,NL002,NL,Eindhoven,96.65,125.67,107.68,131.46,106.64,101.7,118.4
2021,cannabis,NL005,NL,Utrecht,91.65,90.49,125.18,90.75,81.48,66.31,80.83
2021,cannabis,PL003,PL,Krakow P,50.39,76.41,47.95,41.02,50.6,40.74,50.92
2021,cannabis,PT001,PT,Almada,84.58,121.05,88.23,116.82,146.26,116.51,92
2021,cannabis,PT002,PT,Lisbon,114.73,96.54,121.73,95.73,97.89,90.91,94.85
2021,cannabis,PT003,PT,Porto,54.71,49.41,32.94,69.84,8.92,40.73,76.32
2021,cannabis,SE001,SE,Gävle,55.02,49.51,51,38.59,42.27,42.68,51.15
2021,cannabis,SE003,SE,Sandviken,43.57,44.46,32.48,43.65,33.07,33.44,32.59
2021,cannabis,SE004,SE,Söderhamn,44.79,42.96,0,39.86,33.73,45.49,46.99
2021,cannabis,SI001,SI,Domžale-Kamnik,84.66,71.97,56.67,61.96,52.2,70.64,69.05
2021,cannabis,SI002,SI,Koper,147.68,109.11,91.98,113.37,117.57,126.48,114.99
